Cenario,Algoritmo,N,Tempo_ms,Comparacoes,Trocas
Cenario 1,Bubble Sort,10000,126.00,49994535,24845189
Cenario 1,Merge Sort,10000,2.00,120439,133616
Cenario 1,Quick Sort,10000,0.00,166685,78147
Cenario 1,Bubble Sort,100000,21018.00,499844889,250489970
Cenario 1,Merge Sort,100000,20.00,1536713,1668928
Cenario 1,Quick Sort,100000,0.00,2090695,1001984
Cenario 1,Bubble Sort,500000,543856.00,124999422355,62425097729
Cenario 1,Merge Sort,1000000,224.00,18674332,19951424
Cenario 1,Quick Sort,1000000,98.00,35550416,10268671
Cenario 2,Bubble Sort,10000,138.00,49995000,49995000
Cenario 2,Merge Sort,10000,0.00,64608,133616
Cenario 2,Quick Sort,10000,103.00,49995000,25000999
Cenario 2,Bubble Sort,100000,18368.00,4999950000,4999950000
Cenario 2,Merge Sort,100000,15.00,815024,1668928
Cenario 2,Quick Sort,100000,9970.00,4999950000,2500099999
Cenario 2,Bubble Sort,500000,452836.00,124999750000,124999750000
Cenario 2,Merge Sort,1000000,170.00,988492,19951424
Cenario 2,Quick Sort,1000000,996071.00,499999500000,250000999999
Cenario 3,Bubble Sort,10000,77.00,49806809,1286410
Cenario 3,Merge Sort,10000,1.00,105886,133616
Cenario 3,Quick Sort,10000,2.00,2021659,149163
Cenario 3,Bubble Sort,100000,4013.00,2723276019,39529560
Cenario 3,Merge Sort,100000,18.00,1017935,1668928
Cenario 3,Quick Sort,100000,2300.00,226830634,537932
Cenario 3,Bubble Sort,500000,22637.00,15617581497,144816562
Cenario 3,Merge Sort,1000000,168.00,10263537,19951424
Cenario 3,Quick Sort,1000000,475549.00,467783498400,1280759
